"","id","department","accident2000","fatality2000","pob2000","accident2005","fatality2005","pob2005","accident2010","fatality2010","pob2010","accident2015","fatality2015","pob2015","accident2020","fatality2020","injured2020","pob2020"
"1",12,"Managua",10078,148,1262659,10435,156,1380339,15745,178,1401276,24181,183,1484462,24208,189,1068,1546939
"2",10,"León",867,35,373665,609,29,389628,1123,44,394513,904,36,410860,2232,59,270,421050
"3",14,"Matagalpa",534,84,450141,462,53,484902,1038,55,518700,1213,62,561282,1824,114,398,593503
"4",5,"Chinandega",617,62,405283,535,24,441308,851,47,412732,1553,52,429557,1654,71,83,439906
"5",13,"Masaya",545,35,289475,711,29,317499,970,27,336877,906,25,364168,1447,44,190,391903
"6",7,"Estelí",354,25,197021,557,21,215384,443,18,218661,407,29,224231,1409,32,96,229866
"7",8,"Granada",306,23,179438,333,16,190604,452,13,193066,626,20,206009,919,27,69,214317
"8",4,"Carazo",138,14,167811,391,16,177142,437,15,179106,695,21,190769,882,28,66,197139
"9",6,"Chontales",259,18,167896,214,15,182019,448,25,177278,622,40,185866,837,42,112,190863
"10",9,"Jinotega",166,24,278503,159,22,297270,388,20,393355,405,35,438413,602,41,110,475630
"11",17,"Rivas",202,19,158144,158,23,166938,617,33,168592,692,39,177668,553,35,174,182645
"12",1,"RAAN",170,9,231879,89,4,253773,225,18,407397,355,29,480874,742,30,202,530586
"13",11,"Madriz",156,3,124975,86,9,133250,157,14,149982,92,9,164146,330,18,61,174744
"14",3,"Boaco",128,18,157973,176,23,168590,244,25,167269,396,27,178582,315,18,58,185013
"15",15,"Nueva Segovia",147,7,198531,161,20,211233,147,17,235382,186,23,253489,243,39,75,271581
"16",2,"RAAS",169,11,340875,250,9,378022,441,14,351986,340,29,385102,396,22,82,414543
"17",16,"Río San Juan",19,NA,87401,40,3,95546,71,8,109352,100,16,127225,121,21,25,135446
